From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
x815885;xC93780;sea;-1;5221;255;5279;326;;TOE natural strait 01
xB0A778;xE6C781;sea;-1;6530;251;6524;343;;TOE natural strait 02
x60D660;x619F3E;sea;-1;1961;327;1968;352;;TOE natural strait 03
xAEAD7C;xD83543;sea;-1;1779;601;1769;595;;TOE natural strait 04
x6F337C;xE02723;sea;-1;1990;790;1994;763;;TOE natural strait 05
x51C7CA;xB58059;sea;-1;4212;911;4216;905;;TOE West Asia strait 65-73
x81E79B;xB58059;sea;-1;4356;929;4280;895;;TOE West Asia strait 67-73
xDC892F;x654B4F;sea;-1;2235;1048;2209;1035;;TOE natural strait 08
xE1A2D9;xC44FA8;sea;-1;1721;1141;1717;1134;;TOE natural strait 09
x65BE73;xD0543D;sea;-1;1642;1463;1654;1437;;TOE natural strait 10
x25DBB1;x5E8E52;sea;-1;2250;1640;2237;1683;;TOE natural strait 12
xAF7D94;x30C8DA;sea;-1;1552;1659;1539;1677;;TOE natural strait 13
xDAA7F5;xABD67D;sea;-1;2348;1689;2360;1678;;TOE natural strait 14
xD4936E;xBC9B75;sea;-1;3334;3050;3406;3050;;TOE natural strait 15
x444534;xE4F4E9;sea;-1;3092;3147;3108;3143;;TOE Oceania strait 24-25
xC9BF6F;x30DFAB;sea;-1;2835;3318;2830;3324;;TOE Oceania strait 45-44
x6BB1D0;xDD39DA;sea;-1;3817;2919;3926;2948;;TOE temp tegar/newfoot market fix 01
x67BFC1;xC39D9B;sea;-1;3718;2908;3545;2855;;TOE temp tegar/newfoot market fix 02
-1;-1;-1;-1;-1;-1;-1;-1;-1;
